,School District,Project Description, Project Amount ,Election,Yes,No,PASS/FAIL,,
1,MACCRAY,"Addition to junior/senior high school, athletic facilities at elementary sites, auditorium"," $38,800,000 ","Feb. 7, 2017",1003,1108,Fail,,
2,Cleveland,"upgrades and improvements, classroom addition and gym"," $18,000,000 ","Feb. 7, 2017",424,557,Fail,,
3,Proctor,"replace hockey arena, upgrade outdoor facilities"," $12,000,000 ","Feb. 7, 2017",1159,909,PASS,,
4,St. Michael-Albertville,"safety improvements, update technology, maintenance, classroom additions"," $36,100,000 ","Feb. 7, 2017",2877,2526,PASS,,
,,,,,,,,,
5,Crookston,bus garage," $3,400,000 ",April 18,553,"1,459",Fail,,
,Question 2,gym and multipurpose room," $4,800,000 ",April 18,289,"1,718",Fail,,
,Question 3,athletic complex," $3,100,000 ",April 18,255,"1,751",Fail,,
6,Dassel-Cokato,"additions, remodeling and equipment"," $6,945,000 ",April 18,729,735,Fail,,
7,Wrenshall,remodel and expand buildings," $12,500,000 ",April 18,250,657,Fail,,
8,Marshall,"additions, new elementary"," $38,700,000 ",April 18,1495,2419,Fail,,
,Question 2,renovation of former pool area for multi-purpose space ," $1,000,000 ",April 18,1499,2399,Fail,,
,,,,,,,,,
9,Hill City,school upgrades and renovations," $4,000,000 ",May 2,183,114,PASS,,
10,Chisago Lakes,"new elementary school, additions, remodeling, science lab, community center and safety upgrades"," $64,950,000 ",May 9,1904,1512,PASS,,
11,Menahga,"high school addition, gym, classrooms, elementary school addition"," $29,720,000 ",May 9,730,906,Fail,,
,Question 2,"stormwater management, relocating road, tech labs"," $5,000,000 ",May 9,704,927,Fail,,
12,Pierz,"Renovation, remodeling, band room and aduitorium"," $18,450,000 ",May 22,628,"1,012",Fail,,
13,North Branch,"Safety & security, maintenance, updates"," $59,225,000 ",May 23,1844,1132,PASS,,
,Question 2,"gym expansion, athletic space"," $10,940,000 ",May 23,1623,1346,PASS,,
,Question 3,"technology (500,000 per year for 10 years)"," $5,000,000 ",May 23,1761,1211,PASS,,
14,Sauk Rapids-Rice,"new elementary school, athletic facilities at high school, early childhood expansion"," $56,900,000 ",May 23,2035,2367,Fail,,
,Question 2,rebuild Pleasantview Elementary," $30,000,000 ",May 23,2025,2372,Fail,,
15,St. Francis,"upgrades, renovations to all buildings"," $92,280,000 ",May 23,2004,2496,Fail,,
,Question 2,community activities addition," $15,520,000 ",May 23,1722,2772,Fail,,
16,Hinckley-Finlayson,"maintenance, safety and security upgrades, renovations"," $9,500,000 ",May 23,297,423,Fail,,
17,Mora,"new secondary school and auditorium, renovations and improvements"," $52,200,000 ",May 23,1375,2064,Fail,,
18,Eden Valley-Watkins,remodel and renovations of schools and facilities," $12,500,000 ",June 6,309,595,Fail,,
19,Southland,renovation of schools," $24,500,000 ",June 6,355,860,Fail,,
,,,,,,,,,
20,Sebeka,"addition, HVAC"," $12,500,000 ",Aug. 8,421,261,PASS,,
21,Carlton,high school addition to elementary," $23,500,000 ",Aug. 8,475,1202,Fail,,
,,sports," $3,300,000 ",Aug. 8,427,1236,Fail,,
22,Murray County Central,"additions, renovations"," $4,700,000 ",Aug. 8,637,466,PASS,,
23,Minneota,"HVAC and upgrades, additions"," $5,250,000 ",Aug. 22,424,251,PASS,,
24,Brandon-Evansville,new PreK-12 school," $38,750,000 ",Aug. 30,500,1281,Fail,,
25,St. Anthony-New Brighton,"additions, gymn, security for Wilshire Park Elementary School"," $14,060,000 ",Sept. 7,1315,635,PASS,,
26,Hayfield,"renovation, remodel"," $9,900,000 ",Sept. 11,794,477,PASS,,
,q2,"cafeteria addition, improvements"," $4,265,000 ",Sept. 11,728,538,PASS,,
,,,,,,,,,
27,Anoka-Hennepin,"additions, renovations for five high schools and two new elementary schools"," $249,000,000 ",Nov 7,16579,8675,PASS,,
28,Blooming Prairie,capital projects levy for technology," $74,751 ",Nov. 7,364,234,PASS,,
29,Brooklyn Center,"safety, expansion, renovation of classrooms"," $29,930,000 ",Nov. 7,280,233,PASS,,
30,Cass Lake-Bena,"new grade3-5 elementary, upgrades and renovations"," $37,815,000 ",Nov. 7,144,442,Fail,,
31,Columbia Heights,"additions, renovations, improvements to performing arts center, new early childhood and kindergarten space"," $16,000,000 ",Nov. 7,1508,1602,Fail,,
32,Cromwell-Wright,"additional gym, new industrial tech facility and remodeling"," $5,080,000 ",Nov. 7,228,442,Fail,,
33,Faribault,"new early childhood/kindergarten center, high school event center, new ALC and renovations/additions"," $86,160,000 ",Nov. 7,1483,"3,997",Fail,,
34,Forest Lake,"site work, improvements to district arts and athletics facilities"," $9,000,000 ",Nov. 7,4246,5578,Fail,,
35,GFW,"repair, renovation, remodeling, upgrading school sites, expansion of Winthrop school"," $37,800,000 ",Nov. 7,329,1425,Fail,,
,Q.2,"acquisition, construction of additional gymnsium at Winthrop school site"," $1,570,000 ",Nov. 7,296,1445,Fail,,
36,Greenbush-Middle River q2,"capital projects levy for technology $400,000/year for 10 years"," $4,000,000 ",Nov. 7,257,754,Fail,,
37,Hastings,"additions, renovations, safety improvements"," $49,525,000 ",Nov. 7,"2,904","1,464",PASS,,
38,Hinckley-Finlayson,"maintenance, early childhood space, safety"," $7,250,000 ",Nov.7,486,395,PASS,,
,q2,"community ed, fitness space, security, administrative officers"," $2,750,000 ",Nov.7,441,437,PASS,,
39,Holdingford,"additions, renovations, maintenance","$19,700,000",Nov. 7,475,750,Fail,,
40,Hopkins,"renovate and repair, refinance lease levy at lower interest rate"," $30,000,000 ",Nov. 7,7174,2036,PASS,,
,q2,Curriculum and technology capital projects levy ($9.4 million/year for 10 years)," $9,400,000 ",Nov. 7,6908,2201,PASS,,
41,International Falls,ice arena improvements," $1,750,000 ",Nov. 7,996,635,PASS,,
42,Inver Grove Heights  q2,"capital project levy for tech, curriculum, furniture and music instruments ($638,000/year for 10 years)"," $6,380,000 ",Nov. 7,"1,988","1,430",PASS,,
43,Kenyon-Wanamingo,"maintenance, additions, renovations and safety "," $7,150,000 ",Nov. 7,,,PASS,,
,q2,"additoins for ph ed, wellness and flexible learning commons"," $4,365,000 ",Nov. 7,,,PASS,,
44,Lake City,"additions to Bluff View Elementary, renovations and remodeling"," $12,000,000 ",Nov. 7,978,844,PASS,,
45,Luverne,"expand, repurpose and reprogram facilities, improve security, remodels, renovations"," $16,050,000 ",Nov. 7,1068,322,PASS,,
,q2,performing arts center addition," $7,150,000 ",Nov. 7,829,565,PASS,,
