DataYear,EnrollDistrictID,ResidentDistrictID,EnrollingDistrictNumber,EnrollingDistrictType,EnrollingDistrict,CountofOpenEnrolled,ResidentDistrictNumber,ResidentDistrictType,ResidentDistrict
09-10,0001-01-000,0004-01-000,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,6.0,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    
09-10,0001-01-000,0181-01-000,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,15.0,0181,01,BRAINERD PUBLIC SCHOOL DISTRICT    
09-10,0001-01-000,0182-01-000,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,50.0,0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST. 
09-10,0001-01-000,0318-01-000,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,1.0,0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT
09-10,0001-01-000,0473-01-000,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,7.0,0473,01,ISLE PUBLIC SCHOOL DISTRICT        
09-10,0001-01-000,0480-01-000,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,1.0,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      
09-10,0001-03-000,0006-03-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. 
09-10,0001-03-000,0011-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,49.0,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 
09-10,0001-03-000,0012-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,2.0,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  
09-10,0001-03-000,0013-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,86.0,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST
09-10,0001-03-000,0014-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,24.0,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     
09-10,0001-03-000,0015-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT 
09-10,0001-03-000,0016-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,14.0,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    
09-10,0001-03-000,0112-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL
09-10,0001-03-000,0191-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,13.0,0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT  
09-10,0001-03-000,0192-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT  
09-10,0001-03-000,0194-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,5.0,0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT   
09-10,0001-03-000,0196-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,23.0,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN       
09-10,0001-03-000,0197-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,12.0,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN   
09-10,0001-03-000,0199-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,3.0,0199,01,INVER GROVE HEIGHTS SCHOOLS        
09-10,0001-03-000,0200-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,2.0,0200,01,HASTINGS PUBLIC SCHOOL DISTRICT    
09-10,0001-03-000,0270-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,26.0,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT     
09-10,0001-03-000,0271-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,59.0,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT 
09-10,0001-03-000,0272-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,11.0,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT
09-10,0001-03-000,0273-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,18.0,0273,01,EDINA PUBLIC SCHOOL DISTRICT       
09-10,0001-03-000,0277-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    
09-10,0001-03-000,0278-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,2.0,0278,01,ORONO PUBLIC SCHOOL DISTRICT       
09-10,0001-03-000,0279-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,122.0,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       
09-10,0001-03-000,0280-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,175.0,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   
09-10,0001-03-000,0281-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,136.0,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT 
09-10,0001-03-000,0282-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,7.0,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   
09-10,0001-03-000,0283-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,42.0,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. 
09-10,0001-03-000,0284-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,5.0,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     
09-10,0001-03-000,0286-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,32.0,0286,01,BROOKLYN CENTER SCHOOL DISTRICT    
09-10,0001-03-000,0347-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0347,01,WILLMAR PUBLIC SCHOOL DISTRICT     
09-10,0001-03-000,0511-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0511,01,ADRIAN PUBLIC SCHOOL DISTRICT      
09-10,0001-03-000,0621-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,22.0,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT 
09-10,0001-03-000,0622-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,6.0,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST
09-10,0001-03-000,0623-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,7.0,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   
09-10,0001-03-000,0624-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,3.0,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    
09-10,0001-03-000,0625-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,72.0,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    
09-10,0001-03-000,0717-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,4.0,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      
09-10,0001-03-000,0720-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,3.0,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT    
09-10,0001-03-000,0727-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT    
09-10,0001-03-000,0728-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT   
09-10,0001-03-000,0761-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0761,01,OWATONNA PUBLIC SCHOOL DISTRICT    
09-10,0001-03-000,0831-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,3.0,0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT 
09-10,0001-03-000,0833-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST
09-10,0001-03-000,0834-01-000,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,1.0,0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.
